"Идентификатор пользователя","Название приюта","Дата/время платежа","Наименование услуги","Сумма платежа"
27526,Шереметьевский приют,2019-09-05 16:07:55,ПёсоДень,255
27526,Кот и Пёс,2019-09-05 16:16:28,ПёсоДень,155
1105,Матроскин,2019-09-05 16:23:34,КотоДень,98
1105,Матроскин,2019-09-05 16:23:34,Порция вкуснейшего корма,39
1105,Матроскин,2019-09-05 16:23:34,Порция вкуснейшего корма,39
1105,Матроскин,2019-09-05 16:23:34,Наполнитель для туалета,20
1105,Матроскин,2019-09-05 16:23:34,Порция вкуснейшего корма,39
1105,Матроскин,2019-09-05 16:23:34,Наполнитель для туалета,20
26072,Лёхин дом,2019-09-05 16:43:10,Наполнитель для туалета,20
26072,Добрые сердца,2019-09-05 16:43:10,КотоДень,77
4483,"Самарский приют для животных ""НадеждА""",2019-09-05 16:44:10,Избавить питомца от глистов,80
4483,"Самарский приют для животных ""НадеждА""",2019-09-05 16:44:10,Избавить питомца от блох,200
4483,"Самарский приют для животных ""НадеждА""",2019-09-05 16:44:10,Избавить питомца от блох,240
4483,"Самарский приют для животных ""НадеждА""",2019-09-05 16:44:10,Избавить питомца от глистов,240
4483,Люськин дом,2019-09-05 16:44:10,Когтеточка,240
26407,"Кошачий приют ""ДОМИК""",2019-09-05 16:50:35,КотоДень,67
26407,"Кошачий приют ""ДОМИК""",2019-09-05 16:50:35,Наполнитель для туалета,20
26407,Кот и Пёс,2019-09-05 16:50:35,ПёсоДень,155
26407,Лёхин дом,2019-09-05 16:50:35,"1 КотоДень",116
27176,Люськин дом,2019-09-05 17:16:33,Когтеточка,100
27176,Убежище,2019-09-05 17:16:33,"1 КотоДень",114
27642,Кот и Пёс,2019-09-05 17:24:24,ПёсоДень,155
27522,Убежище,2019-09-05 17:28:18,Дневная порция вкуснейшего корма,87
27522,Убежище,2019-09-05 17:28:18,Наполнитель для туалета,20
27515,Кот и Пёс,2019-09-05 17:28:58,ПёсоДень,155
27515,Шереметьевский приют,2019-09-05 17:28:58,Порция вкуснейшего корма,106
27803,Центральный приют Спб для бездомных кошек!,2019-09-05 17:30:23,"1 КотоНеделя",870
5181,"Самарский приют для животных ""НадеждА""",2019-09-05 18:17:06,"1 КотоДень",98
5181,"Самарский приют для животных ""НадеждА""",2019-09-05 18:17:06,Корм с курицей и рисом ,39
5181,"Самарский приют для животных ""НадеждА""",2019-09-05 18:17:06,Ошейник с адресником,137
27521,Шереметьевский приют,2019-09-05 18:18:25,ПёсоДень,255
27804,"Самарский приют для животных ""НадеждА""",2019-09-05 18:39:32,Избавить питомца от глистов,10
27134,Убежище,2019-09-05 18:40:42,"1 КотоДень",114
27804,"Самарский приют для животных ""НадеждА""",2019-09-05 18:46:55,Избавить питомца от блох,10
27804,"Самарский приют для животных ""НадеждА""",2019-09-05 18:46:55,Защитить питомца от вирусов (Фелиген),20
27804,Люськин дом,2019-09-05 18:46:55,Когтеточка,10
27804,Лёхин дом,2019-09-05 18:46:55,Наполнитель для туалета,20
27134,Центральный приют Спб для бездомных кошек!,2019-09-05 18:47:14,"1 КотоДень",98
27805,Убежище,2019-09-05 18:47:43,Наполнитель для туалета,20
26029,"Самарский приют для животных ""НадеждА""",2019-09-05 18:53:15,Избавить питомца от блох,150
26029,"Самарский приют для животных ""НадеждА""",2019-09-05 18:55:27,Защитить питомца от вирусов (Фелиген),632
27804,"Самарский приют для животных ""НадеждА""",2019-09-05 19:04:16,Избавить питомца от глистов,10
27804,"Приют для кошек ""ЯрКот""",2019-09-05 19:04:16,Порция вкуснейшего корма,34
27391,"Самарский приют для животных ""НадеждА""",2019-09-05 19:06:02,Избавить питомца от блох,100
27391,Лёхин дом,2019-09-05 19:06:02,"1 КотоДень",116
26797,Люськин дом,2019-09-05 19:53:02,Когтеточка,250
26797,Убежище,2019-09-05 19:53:02,"1 КотоДень",114
27672,Лёхин дом,2019-09-05 21:57:54,Стерилизация,300
27672,Лёхин дом,2019-09-05 21:57:54,Избавить питомца от глистов,103
27579,"Самарский приют для животных ""НадеждА""",2019-09-05 22:08:22,Избавить питомца от блох,380
27579,Мокрый нос,2019-09-05 22:08:22,"1 ПёсоДень",145
27579,Шереметьевский приют,2019-09-05 22:08:22,Порция вкуснейшего корма,106
27579,Убежище,2019-09-05 22:08:22,"1 КотоДень",114
27655,"Самарский приют для животных ""НадеждА""",2019-09-05 22:10:27,Избавить питомца от блох,380
27655,"Самарский приют для животных ""НадеждА""",2019-09-05 22:10:27,Избавить питомца от глистов,540
27655,"Самарский приют для животных ""НадеждА""",2019-09-05 22:10:27,Успокаивающий ошейник с феромонами ,305
27655,Лёхин дом,2019-09-05 22:12:32,"1 КотоНеделя",1077
5707,"Кошачий приют ""ДОМИК""",2019-09-05 22:49:53,КотоНеделя,620
5707,Люськин дом,2019-09-05 22:49:53,КотоНеделя,705
5707,Котофей,2019-09-05 22:49:53,"1 КотоНеделя",723
27809,Убежище,2019-09-05 23:23:04,"1 КотоДень",114
27810,"Приют для кошек ""ЯрКот""",2019-09-06 00:50:28,"1 КотоДень",83
27810,Матроскин,2019-09-06 00:53:29,КотоДень,98
24099,Люськин дом,2019-09-06 03:01:38,Когтеточка,500
24099,Кот и Пёс,2019-09-06 03:01:38,ПёсоДень,155
24099,"Приют для кошек ""ЯрКот""",2019-09-06 03:01:38,"1 КотоДень",83
24099,"Приют для кошек ""ЯрКот""",2019-09-06 03:01:38,"1 КотоДень",83
24099,Шереметьевский приют,2019-09-06 03:01:38,Порция вкуснейшего корма,106
24099,Лёхин дом,2019-09-06 03:01:38,Стерилизация,1073
24099,Убежище,2019-09-06 03:01:38,"1 КотоДень",114
24099,"Самарский приют для животных ""НадеждА""",2019-09-06 03:10:14,"1 КотоДень",98
24099,"Кошачий приют ""ДОМИК""",2019-09-06 03:10:14,КотоДень,67
24099,"Кошачий приют ""ДОМИК""",2019-09-06 03:10:14,КотоДень,67
24099,Кот и Пёс,2019-09-06 03:10:14,ПёсоДень,155
27811,Лёхин дом,2019-09-06 09:33:47,Избавить питомца от блох,412
27811,Лёхин дом,2019-09-06 09:43:18,Вакцина против вируса,878
26899,Люськин дом,2019-09-06 10:33:56,"1 КотоДень",87
26899,Кот и Пёс,2019-09-06 10:33:56,Рекламировать питомца (пакет Mini),78
27314,Мокрый нос,2019-09-06 10:57:09,Рекламировать питомца (пакет Maxi),265
27314,Убежище,2019-09-06 11:10:43,Наполнитель для туалета,20
23591,Шереметьевский приют,2019-09-06 11:55:55,Порция вкуснейшего корма,106
23591,Котофей,2019-09-06 11:55:55,"1 КотоДень",87
23591,Котофей,2019-09-06 11:55:55,Наполнитель для туалета,20
23591,Котофей,2019-09-06 11:55:55,"1 КотоДень",87
23591,Котофей,2019-09-06 11:55:55,Наполнитель для туалета,20
23591,Котофей,2019-09-06 11:55:55,"1 КотоДень",87
23591,Котофей,2019-09-06 11:55:55,Наполнитель для туалета,20
3687,Мокрый нос,2019-09-06 12:58:25,"1 ПёсоДень",145
3687,Мокрый нос,2019-09-06 12:58:25,"1 ПёсоДень",145
3687,Люськин дом,2019-09-06 12:58:25,Когтеточка,100
3687,"Приют для кошек ""ЯрКот""",2019-09-06 12:58:25,"1 КотоДень",83
27637,Матроскин,2019-09-06 14:22:30,Порция вкуснейшего корма,39
27637,Матроскин,2019-09-06 14:22:30,Наполнитель для туалета,20
27637,Матроскин,2019-09-06 14:22:30,Рекламировать питомца (пакет Mini),78
27637,Люськин дом,2019-09-06 14:22:30,Наполнитель для туалета Fresh Step,36
27637,Люськин дом,2019-09-06 14:22:30,Когтеточка,100
27637,Кот и Пёс,2019-09-06 14:22:30,Рекламировать питомца (пакет Standart),155
27637,Кот и Пёс,2019-09-06 14:22:30,ПёсоДень,155
27637,Убежище,2019-09-06 14:22:30,"1 КотоДень",114
22917,"Самарский приют для животных ""НадеждА""",2019-09-06 14:24:37,"1 КотоДень",98
22917,"Самарский приют для животных ""НадеждА""",2019-09-06 14:24:37,"1 КотоДень",98
22917,Матроскин,2019-09-06 14:24:37,КотоДень,98
22917,"Кошачий приют ""ДОМИК""",2019-09-06 14:24:37,КотоДень,67
22917,"Кошачий приют ""ДОМИК""",2019-09-06 14:24:37,КотоДень,67
22917,Кот и Пёс,2019-09-06 14:24:37,КотоДень,85
22917,Добрые сердца,2019-09-06 14:24:37,КотоДень,77
24,Котофей,2019-09-06 14:47:50,Наполнитель для туалета,20
26404,Котофей,2019-09-06 15:21:39,"1 КотоДень",87
26404,Котофей,2019-09-06 15:21:39,Наполнитель для туалета,20
27556,Убежище,2019-09-06 15:23:02,"1 КотоДень",114
26404,Матроскин,2019-09-06 15:26:57,КотоДень,98
27556,Убежище,2019-09-06 15:29:13,Наполнитель для туалета,20
26952,"Приют для кошек ""ЯрКот""",2019-09-06 15:50:44,"1 КотоДень",83
